Date,Inflow_Total_cfs,Inflow_Total_AF,Total_Outflow_cfs,Total_Outflow_AF,Power_Release_cfs,Power_Release_AF,River_Outlet_Release_cfs,River_Outlet_Release_AF,InflowTemp_degF,Gate_Upp,Gate_Mid,Gate_PRG,Gate_SDG,Riv_Upp,Riv_Mid,Riv_Bot,Wind_msec,Wind_TKE_Term,AirTemp_degC,AirTemp_degF,SolRad_Wm2,Precip_mm,Precip_in,Tdew_degC,Evap_cfs,Storage_AF,Tw_Temp_degF,Precip_in_allzeros
1/14/2000,19097,37878.34711,2711,5377.190083,2704,5363.305785,0,0,44.37767579,0,5,0,0,0,0,0,5.869895833,2820.273717,11.8271875,53.2889375,33.91666667,23.114,0.91,8.647424345,0,3295363,50.91289357,0
1/15/2000,30102,59706.44628,1913,3794.380165,1913,3794.380165,0,0,44.73481513,0,5,0,0,0,0,0,2.676805556,120.1823677,9.754652778,49.558375,29.875,23.19,0.912992126,8.958009142,101,3351075,50.84614567,0
1/16/2000,33201,65853.22314,624,1237.68595,624,1237.68595,0,0,44.96587839,0,5,0,0,0,0,0,7.83625,7916.267832,9.632708333,49.338875,75.54166667,4.572,0.18,5.708885806,58,3415575,50.47668689,0
1/17/2000,19105,37894.21488,3105,6158.677686,3103,6154.710744,0,0,44.39498128,0,5,0,0,0,0,0,0.8125,0.984899696,6.570625,43.827125,65.25,0,0,-0.015385206,15,3447281,50.83943758,0
1/18/2000,15978,31691.90083,3947,7828.760331,3697,7332.892562,0,0,44.97333521,0,5,0,0,0,0,0,1.226388889,1.568216525,10.04277778,50.077,43.625,9.974,0.392677165,-0.85342063,103,3470941,50.85980858,0
1/19/2000,18559,36811.23967,2019,4004.628099,1813,3596.033058,0,0,45.40305566,0,5,0,0,0,0,0,2.0534375,286.336485,11.54670139,52.7840625,15.20833333,23.008,0.905826772,5.774827225,0,3503748,50.72800992,0
1/20/2000,25221,50025.12397,2311,4583.801653,2088,4141.487603,0,0,45.51482002,0,5,0,0,0,0,0,1.634722222,2.190669378,10.37194444,50.6695,70.41666667,0,0,3.789345738,0,3549189,50.56647193,0
1/21/2000,18891,37469.75207,1878,3724.958678,1673,3318.347107,0,0,44.83227872,0,5,0,0,0,0,0,1.261777778,1.628281115,8.03503125,46.46305625,48.125,2.778,0.109370079,1.794882704,90,3582755,50.2417799,0
1/22/2000,15887,31511.40496,4006,7945.785124,3789,7515.371901,0,0,45.42275733,0,5,0,0,0,0,0,0.963888889,1.19666424,8.610138889,47.49825,59.79166667,0,0,6.641384824,15,3606292,50.2946419,0
1/23/2000,17669,35045.95041,4192,8314.710744,3971,7876.363636,0,0,45.34102117,0,5,0,0,0,0,0,1.396541667,1.77607481,8.226048611,46.8068875,6.083333333,23.248,0.915275591,7.822534792,0,3633024,50.29393221,0
1/24/2000,22843,45308.42975,4326,8580.495868,4101,8134.214876,0,0,45.46122843,0,5,0,0,0,0,0,0.882986111,1.034752974,9.288965278,48.7201375,23.83333333,11.352,0.446929134,8.769268135,0,3669753,50.26036845,0
1/25/2000,22359,44348.42975,8585,17028.09917,8363,16587.7686,0,0,45.61235832,0,5,0,0,0,0,0,0.937444444,1.12801987,9.341819444,48.815275,30.70833333,5.788,0.227874016,8.611652692,0,3697073,50.16166158,0
1/26/2000,17778,35262.14876,11593,22994.38017,11371,22554.04959,0,0,45.43232303,0,5,0,0,0,0,0,1.270416667,1.712709433,8.167958333,46.702325,132.9583333,0.1,0.003937008,4.236721161,0,3709341,50.05073986,0
1/27/2000,14605,28968.59504,12995,25775.20661,9080,18009.91736,3915,7765.289256,44.8532252,0,5,0,0,1,0,0,4.82125,690.4458762,11.11354167,52.004375,130.25,0,0,-0.921058283,31,3712473,50.42446526,0
1/28/2000,12781,25350.7438,12201,24200.33058,7503,14881.98347,4698,9318.347107,44.48155278,0,5,0,0,1,0,0,3.183333333,200.6178971,9.0925,48.3665,128.4166667,0,0,-3.548377566,54,3713517,50.57242406,0
1/29/2000,12275,24347.10744,18128,35956.36364,9515,18872.72727,8613,17083.63636,44.33144707,0,5,0,0,1,0,0,1.146666667,12.02716144,6.631875,43.937375,127.1666667,0,0,-0.083056858,69,3701771,50.5,0
1/30/2000,14848,29450.57851,16690,33104.13223,11737,23280,4953,9824.132231,44.11666997,0,5,0,0,1,0,0,3.278229167,336.1883316,7.385104167,45.2931875,42.5,26.924,1.06,5.267757346,0,3698117,49.98333333,0
1/31/2000,15031,29813.55372,15542,30827.10744,11379,22569.91736,4163,8257.190083,43.76887726,0,5,0,0,1,0,0,1.6315625,18.59854537,6.231666667,43.217,35.375,11.422,0.449685039,5.439690605,15,3697073,49.73333333,0
2/1/2000,13958,27685.28926,15832,31402.31405,8559,16976.52893,7273,14425.78512,43.98905979,0,5,0,0,1,0,0,1.903125,2.432328668,6.231666667,43.217,80.875,1.016,0.04,5.439690605,100,3693157,49.97083333,0
2/2/2000,14114,27994.71074,12140,24079.33884,11556,22920.99174,584,1158.347107,44.44348562,0,5,0,0,1,0,0,1.3525,1.726604277,9.071805556,48.32925,132.75,0,0,6.494511477,0,3697073,49.60416667,0
2/3/2000,13247,26275.04132,9663,19166.28099,9663,19166.28099,0,0,44.45389094,0,5,0,0,0,0,0,2.1,335.2606102,9.071805556,48.32925,47.66666667,13.1,0.515748031,6.494511477,31,3704120,49.425,0
2/4/2000,12562,24916.36364,10704,21231.07438,8981,17813.55372,1723,3417.520661,44.58409875,0,5,0,0,1,0,0,1.428125,1.823267124,8.607291667,47.493125,61.16666667,0.508,0.02,7.408022951,15,3707775,49.47916667,0
2/5/2000,19268,38217.52066,9716,19271.40496,9205,18257.85124,511,1013.553719,45.46620957,0,5,0,0,1,0,0,5.087430556,2077.65582,9.824583333,49.68425,40.91666667,17.018,0.67,8.723860454,46,3726631,49.11666667,0
2/6/2000,22696,45016.8595,6487,12866.77686,6487,12866.77686,0,0,45.89114547,0,5,0,0,0,0,0,1.549861111,12.51839821,10.43673611,50.786125,119.0416667,0,0,7.237847884,31,3758720,48.99166667,0
2/7/2000,16890,33500.82645,7395,14667.7686,7395,14667.7686,0,0,45.5018215,0,5,0,0,0,0,0,0.771458333,0.952049987,9.142916667,48.45725,112.5833333,0,0,6.717594496,31,3777491,49.075,0
2/8/2000,15113,29976.19835,10243,20316.69421,10243,20316.69421,0,0,45.5883219,5,0,0,0,0,0,0,0.797986111,1.01028839,9.194305556,48.54975,88.04166667,0,0,6.83937125,62,3787027,49.44166667,0
2/9/2000,12650,25090.90909,14637,29032.06612,10137,20106.44628,4500,8925.619835,45.88592812,5,0,0,0,1,0,0,0.964166667,1.23056707,11.03270833,51.858875,64.29166667,4.54,0.178740157,8.891394194,16,3783054,50.04227133,0
2/10/2000,14694,29145.12397,13178,26138.18182,10014,19862.47934,3164,6275.702479,46.29451275,5,0,0,0,1,0,0,2.450277778,27.6926201,10.688125,51.238625,60.70833333,18.11,0.712992126,9.49649336,47,3785968,49.99095294,0
2/11/2000,22723,45070.41322,14362,28486.61157,10437,20701.4876,3925,7785.123967,46.05038482,5,0,0,0,1,0,0,6.7259375,2404.584384,8.925972222,48.06675,21.25,34.036,1.34,7.865945019,218,3802119,49.74645824,0
2/12/2000,35195,69808.26446,16532,32790.7438,11481,22772.2314,5051,10018.5124,45.80521096,5,0,0,0,1,0,0,6.833958333,1973.052819,8.130555556,46.635,32.95833333,8.89,0.35,6.970409732,63,3839012,49.52753073,0
2/13/2000,49763,98703.47107,15187,30122.97521,11452,22714.71074,3735,7408.264463,45.73555774,5,0,0,0,1,0,0,7.009993056,2904.38889,9.010118056,48.2182125,27.33333333,43.434,1.71,8.3747284,262,3907073,49.35491204,0
2/14/2000,73332,145451.9008,15670,31080.99174,8899,17650.90909,6771,13430.08264,46.274601,5,0,0,0,1,0,0,9.109166667,7101.280931,11.81041667,53.25875,131.7916667,6.35,0.25,7.242866194,0,4021446,49.1770788,0
2/15/2000,39925,79190.08264,33800,67041.32231,10986,21790.41322,22814,45250.90909,45.75366958,5,0,0,0,1,1,0,1.564861111,1.998804921,9.597083333,49.27475,103.4583333,0,0,6.325938348,24,4033548,49.57350249,0
2/16/2000,29786,59079.66942,35333,70081.98347,11201,22216.8595,24132,47865.12397,45.982462,5,0,0,0,1,1,0,1.643958333,2.117789749,8.490625,47.283125,41.625,1.516,0.059685039,6.748392952,0,4022546,49.59856145,0
2/17/2000,23499,46609.58678,36199,71799.66942,11227,22268.42975,24972,49531.23967,46.07501098,5,0,0,0,1,1,0,1.095,1.394369094,8.487430556,47.277375,104.4166667,0,0,6.280866334,32,3997293,49.47040016,0
2/18/2000,20717,41091.57025,37444,74269.09091,11331,22474.71074,26113,51794.38017,46.02126298,5,0,0,0,1,1,0,2.744583333,110.8681863,9.49125,49.08425,169.7083333,0.1,0.003937008,2.723877479,72,3963973,49.42601509,0
2/19/2000,16402,32532.89256,40776,80878.01653,11242,22298.18182,29534,58579.83471,45.80192305,5,0,0,0,1,1,0,1.564583333,12.5842034,9.617916667,49.31225,144.8333333,0.354,0.013937008,2.392257263,95,3915438,49.2802836,0
2/20/2000,16939,33598.01653,36197,71795.70248,11283,22379.50413,24914,49416.19835,46.13982921,5,0,0,0,1,1,0,2.61375,44.39766653,10.443125,50.797625,36.25,10.76,0.423622047,8.625186644,8,3877224,49.45109144,0
2/21/2000,17016,33750.7438,35477,70367.60331,11281,22375.53719,24196,47992.06612,46.36545231,5,0,0,0,1,1,0,2.219722222,149.4218855,10.49840278,50.897125,146.2916667,7.366,0.29,6.894908035,133,3840342,49.53202543,0
2/22/2000,29161,57840,31294,62070.7438,10982,21782.47934,20312,40288.26446,46.10284246,5,0,0,0,1,1,0,10.55052083,13065.38727,8.933854167,48.0809375,21.375,19.404,0.763937008,6.878951451,549,3835022,49.38760776,0
2/23/2000,32418,64300.16529,31046,61578.84298,11287,22387.43802,19759,39191.40496,45.78095043,5,0,0,0,1,1,0,1.006944444,1.219923926,6.264895833,43.2768125,148.5833333,5.9,0.232283465,2.971833122,165,3837416,49.08070761,0
2/24/2000,24172,47944.46281,33677,66797.35537,11459,22728.59504,22218,44068.76033,45.53312074,5,0,0,0,1,1,0,1.489791667,55.05803196,5.066597222,41.119875,90.08333333,3.302,0.13,3.19255424,16,3818531,49.18573267,0
2/25/2000,20947,41547.7686,37656,74689.58678,11669,23145.12397,25987,51544.46281,45.10588034,5,0,0,0,1,1,0,1.555208333,1.989310765,5.066597222,41.119875,86.375,5.04,0.198425197,3.19255424,109,3785173,49.09019669,0
2/26/2000,37116,73618.5124,29461,58435.04132,11610,23028.09917,17851,35406.94215,45.06404256,5,0,0,0,1,1,0,9.507291667,7946.858416,10.58333333,51.05,39.16666667,4,0.157480315,8.670346049,312,3799737,49.05840544,0
2/27/2000,54464,108027.7686,31137,61759.33884,11477,22764.29752,19660,38995.04132,45.76219977,5,0,0,0,1,1,0,7.785069444,4716.945818,10.58333333,51.05,119.9583333,12.446,0.49,8.670346049,173,3845663,49.29433135,0
2/28/2000,40057,79451.90083,35651,70712.72727,11496,22801.98347,24155,47910.7438,45.84271834,5,0,0,0,1,1,0,3.745833333,418.7017697,10.58333333,51.05,93.625,1.5,0.059055118,8.670346049,94,3854216,49.51461985,0
2/29/2000,40882,81088.26446,39265,77880.99174,11605,23018.18182,27660,54862.80992,45.90845496,5,0,0,0,1,1,0,3.964375,800.6269515,8.95375,48.11675,139.5833333,4.9,0.192913386,3.442965184,0,3857423,49.19727717,0
3/1/2000,32203,63873.71901,45106,89466.44628,11738,23281.98347,33368,66184.46281,45.89511907,5,0,0,0,1,1,0,1.850416667,12.7791661,8.95375,48.11675,161.9166667,0,0,3.442965184,0,3831829,48.77868387,0
3/2/2000,27280,54109.09091,47786,94782.14876,11875,23553.71901,35911,71228.42975,46.01622717,5,0,0,0,1,1,0,1.589583333,2.073307589,8.039791667,46.471625,47.75,9.652,0.38,6.861889015,78,3791001,48.81685116,0
3/3/2000,21471,42587.10744,49949,99072.39669,11874,23551.73554,38075,75520.66116,46.07639602,5,0,0,0,1,1,0,2.807916667,135.5685211,13.54625,56.38325,193.5,0,0,5.253297562,8,3734499,48.88761892,0
3/4/2000,21443,42531.57025,48378,95956.36364,11936,23674.71074,36442,72281.65289,46.17875713,2,5,0,0,1,1,0,1.986458333,52.47690044,9.051111111,48.292,85.79166667,31.242,1.23,7.946665851,76,3680922,48.83796629,0
3/5/2000,23896,47397.02479,41735,82780.16529,11912,23627.10744,29823,59153.05785,45.97873083,0,5,0,0,1,1,0,3.725,386.1996454,6.786979167,44.2165625,44.04166667,24.372,0.959527559,5.141790446,61,3645417,48.87075845,0
3/6/2000,21760,43160.33058,34209,67852.56198,11945,23692.56198,22264,44160,46.05142506,0,5,0,0,1,1,0,2.106277778,150.0986724,7.793180556,46.027725,55.16666667,0.6,0.023622047,5.514074539,23,3620678,48.99380368,0
3/7/2000,22396,44421.81818,35812,71032.06612,11987,23775.86777,23825,47256.19835,45.74453859,0,5,0,0,1,1,0,4.554722222,1078.684377,7.908055556,46.2345,70.25,2.132,0.083937008,5.895743665,30,3594008,48.89185963,0
3/8/2000,25073,49731.57025,35111,69641.65289,12274,24345.12397,22837,45296.52893,45.42899739,0,5,0,0,1,1,0,4.694652778,670.1655054,6.761388889,44.1705,112.8333333,27.408,1.079055118,3.734868586,0,3574097,49.22343706,0
3/9/2000,27168,53886.94215,32674,64807.93388,11270,22353.71901,21404,42454.21488,45.3348866,0,5,0,0,1,1,0,2.964444444,144.1087371,7.94875,46.30775,146,8.89,0.35,6.610735901,15,3563147,48.92077991,0
3/10/2000,24326,48249.91736,35557,70526.28099,12245,24287.60331,23312,46238.67769,45.18307344,0,5,0,0,1,1,0,2.036805556,33.15779942,9.013680556,48.224625,68.08333333,3.302,0.13,7.345451907,22,3540827,49.01321609,0
3/11/2000,25133,49850.57851,28823,57169.58678,12096,23992.06612,16727,33177.52066,45.5412848,0,5,0,0,1,1,0,1.569861111,2.100851265,10.78951389,51.421125,133.1666667,1.162,0.045748031,6.908259178,15,3533478,48.5511312,0
3/12/2000,22276,44183.80165,25634,50844.29752,12052,23904.79339,13582,26939.50413,45.77754616,0,5,0,0,1,0,0,2.486666667,100.5442077,12.86333333,55.154,200.3333333,0,0,4.077241078,15,3526670,48.69933087,0
3/13/2000,19849,39369.91736,21248,42144.79339,11916,23635.04132,9332,18509.75207,46.12901697,0,5,0,0,1,0,0,1.54375,1.963052273,13.01125,55.42025,187.5416667,0.762,0.03,7.198715404,126,3523645,48.79411479,0
3/14/2000,18925,37537.19008,19225,38132.2314,11808,23420.82645,7417,14711.40496,46.65346152,0,5,0,0,1,0,0,2.53,51.5344722,15.10236111,59.18425,194.2916667,0.1,0.003937008,5.44566619,82,3522888,48.76261662,0
3/15/2000,16768,33258.84298,15033,29817.52066,11744,23293.8843,3289,6523.636364,46.68814107,2,5,0,0,1,0,0,2.98,133.7288566,16.85666667,62.342,209.9166667,0,0,0.109895265,82,3526166,48.68581228,0
3/16/2000,16132,31997.35537,12925,25636.36364,11817,23438.67769,1108,2197.68595,47.41449391,5,5,0,0,1,0,0,3.836666667,829.0480785,14.96583333,58.9385,209.9583333,0,0,2.157185536,156,3532217,48.8150001,0
3/17/2000,16194,32120.33058,8660,17176.8595,8660,17176.8595,0,0,47.05221498,5,5,0,0,0,0,0,2.636666667,160.9354454,13.29583333,55.9325,224,0,0,-0.446423864,127,3546908,48.58064771,0
3/18/2000,14470,28700.82645,6918,13721.65289,6918,13721.65289,0,0,47.83536671,5,5,0,0,0,0,0,2.38,40.76370993,17.17375,62.91275,221.7083333,0,0,7.071054568,135,3561619,48.34435033,0
3/19/2000,13775,27322.31405,6828,13543.1405,6828,13543.1405,0,0,48.20352195,5,5,0,0,0,0,0,4.350416667,539.9116582,14.54791667,58.18625,209.375,0,0,-0.642822051,142,3575116,48.37242612,0
3/20/2000,13633,27040.66116,7685,15242.97521,7685,15242.97521,0,0,47.63542047,5,5,0,0,0,0,0,6.0225,2400.946939,12.38916667,54.3005,236.5833333,0,0,-4.976398942,165,3586586,48.67678809,0
3/21/2000,12866,25519.33884,7281,14441.65289,7281,14441.65289,0,0,48.14365476,5,5,0,0,0,0,0,4.800416667,1565.535932,17.13166667,62.837,234.9166667,0,0,-2.088483809,166,3597335,48.75820598,0
3/22/2000,12189,24176.52893,5974,11849.2562,5974,11849.2562,0,0,48.64113334,5,5,0,0,0,0,0,2.421875,193.4962545,14.80291667,58.64525,208,0,0,5.445117397,151,3609363,48.50262722,0
3/23/2000,11783,23371.23967,4410,8747.107438,4410,8747.107438,0,0,48.80112226,5,5,0,0,0,0,0,2.315833333,45.31918754,15.28708333,59.51675,196.875,0,0,5.167539349,113,3623764,48.20945236,0
3/24/2000,11965,23732.2314,2996,5942.479339,2996,5942.479339,0,0,48.83313158,5,5,0,0,0,0,0,1.692916667,64.27567458,12.44708333,54.40475,219.5833333,0,0,5.145428305,114,3641282,48.15280791,0
3/25/2000,11875,23553.71901,2862,5676.694215,2862,5676.694215,0,0,49.49114323,5,5,0,0,0,0,0,1.436666667,28.88075426,12.26375,54.07475,216.125,0,0,5.88865362,152,3658857,48.33142789,0
3/26/2000,11147,22109.75207,2558,5073.719008,2558,5073.719008,0,0,49.29280719,5,5,0,0,0,0,0,1.049583333,1.308227896,13.78666667,56.816,236.0833333,0,0,5.472239244,84,3675727,48.37622947,0
3/27/2000,10467,20760.99174,2308,4577.85124,2308,4577.85124,0,0,49.31788055,5,2,0,0,0,0,0,3.408333333,689.5287632,11.83291667,53.29925,191.4583333,0,0,6.797336268,161,3691591,49.80976374,0
3/28/2000,11998,23797.68595,3220,6386.77686,3220,6386.77686,0,0,49.53891065,5,0,0,0,0,0,0,2.33625,91.94780634,11.56916667,52.8245,228.125,0,0,1.730580358,92,3708819,50.9859347,0
3/29/2000,10296,20421.81818,3052,6053.553719,3052,6053.553719,0,0,49.37500632,5,0,0,0,0,0,0,2.86375,103.5230349,14.18270833,57.528875,239.9583333,0,0,0.177870499,115,3722959,51.28240229,0
3/30/2000,10192,20215.53719,2766,5486.280992,2766,5486.280992,0,0,49.61478566,5,0,0,0,0,0,0,5.702083333,1742.493749,16.80125,62.24225,254.1666667,0,0,-4.489035419,154,3737384,51.25987522,0
3/31/2000,11297,22407.27273,3809,7555.041322,3809,7555.041322,0,0,49.83726143,5,0,0,0,0,0,0,5.080833333,1346.881165,19.26875,66.68375,252.375,0,0,-2.844911687,186,3751868,51.62518053,0
4/1/2000,11741,23287.93388,3162,6271.735537,3162,6271.735537,0,0,50.3439105,5,0,0,0,0,0,0,3.666666667,766.5479152,20.43791667,68.78825,254.8333333,0,0,3.334641561,202,3768484,51.68724548,0
4/2/2000,11369,22550.08264,2227,4417.190083,2227,4417.190083,0,0,50.96248452,5,0,0,0,0,0,0,3.982173913,511.6053223,22.7,72.86,270.5217391,0,0,5.919597263,194,3786232,51.14930645,0
4/3/2000,9241,18329.2562,1955,3877.68595,1955,3877.68595,0,0,51.20652843,5,1,0,0,0,0,0,1.950416667,132.5699011,18.59875,65.47775,251.5416667,0,0,9.20468644,211,3800266,49.59929961,0
4/4/2000,8927,17706.44628,2860,5672.727273,2860,5672.727273,0,0,51.21202338,5,1,0,0,0,0,0,2.035833333,218.6704657,16.32666667,61.388,257.75,0,0,8.004025749,195,3811913,49.69185153,0
4/5/2000,10163,20158.01653,1456,2887.933884,1456,2887.933884,0,0,51.02836931,5,1,0,0,0,0,0,1.67125,149.7538082,16.19708333,61.15475,257.0833333,0,0,7.800287904,141,3828903,48.3770006,0
4/6/2000,10362,20552.72727,2481,4920.991736,2481,4920.991736,0,0,51.4978647,5,1,0,0,0,0,0,1.135416667,1.534473536,15.42791667,59.77025,256.6666667,0,0,7.667773199,236,3844067,49.6893891,0
4/7/2000,10220,20271.07438,3099,6146.77686,3099,6146.77686,0,0,52.012186,5,1,0,0,0,0,0,1.843333333,29.44896022,17.965,64.337,258.2083333,0,0,6.947514012,118,3857957,50.31706927,0
4/8/2000,9922,19680,3217,6380.826446,3217,6380.826446,0,0,51.95497417,5,1,0,0,0,0,0,1.88625,96.80471783,15.52291667,59.94125,237.0833333,2.286,0.09,8.548633384,237,3870786,51.23392258,0
4/9/2000,9328,18501.81818,7517,14909.75207,7517,14909.75207,0,0,52.13833932,5,0,0,0,0,0,0,1.971666667,2.679212491,14.55708333,58.20275,252.7083333,0,0,8.974150212,55,3874270,51.71691342,0
4/10/2000,8152,16169.2562,8575,17008.26446,8575,17008.26446,0,0,52.06992247,5,1,0,0,0,0,0,1.8,18.83546849,17.40708333,63.33275,259,0,0,6.870118575,118,3873196,52.42531983,0
4/11/2000,9912,19660.16529,8608,17073.71901,8608,17073.71901,0,0,52.43023211,5,1,0,0,0,0,0,1.2,1.527636684,16.785,62.213,231.7916667,0,0,9.305610619,221,3875344,51.15042206,0
4/12/2000,10327,20483.30579,8170,16204.95868,8170,16204.95868,0,0,52.67845725,5,1,0,0,0,0,0,3.194583333,492.8004986,17.85916667,64.1465,153.9166667,8.982,0.353622047,11.42258395,126,3879373,51.09199857,0
4/13/2000,17079,33875.70248,8692,17240.33058,8692,17240.33058,0,0,50.39724658,5,1,0,0,0,0,0,5.832986111,1689.994556,13.58993056,56.461875,188.625,37.184,1.463937008,10.67694862,127,3895756,50.39061885,0
4/14/2000,15715,31170.24793,8033,15933.22314,8033,15933.22314,0,0,51.18903478,5,1,0,0,0,0,0,1.889027778,23.55716044,13.51482639,56.3266875,221.3333333,1.462,0.057559055,8.640633625,72,3910851,51.06598359,0
4/15/2000,14122,28010.57851,7832,15534.54545,7832,15534.54545,0,0,51.32642104,5,1,0,0,0,0,0,5.1675,1362.605083,13.51482639,56.3266875,180.5416667,2.032,0.08,8.640633625,32,3923264,50.61060415,0
4/16/2000,18398,36491.90083,7687,15246.94215,7687,15246.94215,0,0,50.75325555,5,1,0,0,0,0,0,2.513645833,93.76394893,11.88277778,53.389,89.625,16.864,0.663937008,9.935984264,56,3944399,50.68033323,0
4/17/2000,27903,55344.79339,4323,8574.545455,4323,8574.545455,0,0,49.50595524,5,1,0,0,0,0,0,2.335555556,120.2852671,10.54840278,50.987125,50.41666667,21.844,0.86,9.265987821,225,3990723,49.80499012,0
4/18/2000,19633,38941.4876,4233,8396.033058,4233,8396.033058,0,0,49.06668178,5,1,0,0,0,0,0,2.659416667,121.1820861,10.57166667,51.029,156.2916667,1.37,0.053937008,8.373666433,49,4021171,49.85761796,0
4/19/2000,17724,35155.04132,3826,7588.760331,3826,7588.760331,0,0,49.93979407,5,0,0,0,0,0,0,1.370833333,1.717485663,13.66333333,56.594,196.875,0,0,8.670078633,33,4048738,51.81787046,0
4/20/2000,14373,28508.42975,6519,12930.24793,6519,12930.24793,0,0,50.45651016,5,0,0,0,0,0,0,1.456666667,1.887869307,15.89333333,60.608,278.0833333,0,0,8.645187761,49,4064219,52.73649589,0
4/21/2000,14695,29147.10744,7064,14011.23967,7064,14011.23967,0,0,50.8171848,5,1,0,0,0,0,0,2.057083333,119.994824,18.12916667,64.6325,279.4166667,0,0,8.887989325,212,4078935,51.64416239,0
4/22/2000,12475,24743.80165,7652,15177.52066,7652,15177.52066,0,0,51.21523785,3,3,0,0,0,0,0,3.623333333,185.9238904,14.69833333,58.457,203.7916667,0,0,7.150082296,204,4088097,49.50673101,0
4/23/2000,12240,24277.68595,7474,14824.46281,7474,14824.46281,0,0,50.8878161,4,2,0,0,0,0,0,2.142916667,37.82225938,14.00041667,57.20075,270.9166667,0,0,1.507704637,131,4097291,48.88608817,0
4/24/2000,12291,24378.84298,7685,15242.97521,7685,15242.97521,0,0,51.30433028,4,2,0,0,0,0,0,2.14375,56.81553906,14.67625,58.41725,259.9166667,0,0,2.402303703,246,4105939,49.05536145,0
4/25/2000,12648,25086.94215,7858,15586.1157,7858,15586.1157,0,0,51.99172649,4,2,0,0,0,0,0,2.443333333,271.7409557,16.05041667,60.89075,254.0416667,0,0,8.380112222,148,4115146,48.76871494,0
4/26/2000,11188,22191.07438,8032,15931.23967,8032,15931.23967,0,0,52.23329819,4,2,0,0,0,0,0,1.510833333,1.918866075,18.57625,65.43725,291.8333333,0,0,8.419451075,197,4121015,48.96964263,0
4/27/2000,10274,20378.18182,5471,10851.57025,5471,10851.57025,0,0,52.23185311,4,2,0,0,0,0,0,2.517083333,144.003015,15.06270833,59.112875,163.2916667,0,0,7.384979831,140,4130265,48.52774786,0
